Number,Title,Source,URL,Date
129,Kennesaw State Celebrates Birla Carbon Scholars,No Source,https://news.kennesaw.edu/stories/2021/birla-carbon-scholars-2021.php,"January 22, 2021"
130,Kennesaw State University's Zuckerman Museum of Art debuts new exhibitions,No Source,https://news.kennesaw.edu/stories/2021/zuckerman-museum-spring-2021.php,"January 21, 2021"
131,Professor's research examines how COVID-19 graphs may miss the mark,No Source,https://news.kennesaw.edu/stories/2021/thought-provoking-podcast-technical-communication.php,"January 21, 2021"
132,Three Minute Thesis Competition Allows Architecture Students to Showcase Research,No Source,https://news.kennesaw.edu/stories/2021/three-minute-thesis-competition-2021.php,"January 20, 2021"
133,Professor helps open German Studies pipeline ,No Source,https://news.kennesaw.edu/stories/2021/german-studies-program-at-ksu.php,"January 20, 2021"
134,Honoring a Lasting Legacy,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/honoring-a-lasting-legacy.php,"January 19, 2021"
135,"RCHSS Dean Shawn Long remembered for commitment to students, scholarship",No Source,https://news.kennesaw.edu/stories/2021/rchss-dean-shawn-long.php,"January 15, 2021"
136,KSU faculty members named 2020-2021 USG Leadership Fellows,No Source,https://news.kennesaw.edu/stories/2021/ksu-faculty-usg-leadership-fellows.php,"January 15, 2021"
137,Excitement Builds for Spring Semester,No Source,https://news.kennesaw.edu/stories/2021/ksu-students-return-for-spring-semester.php,"January 14, 2021"
138,First-year student shares experience and growth at KSU,No Source,https://news.kennesaw.edu/stories/2021/my-first-semester-2021-public-relations.php,"January 14, 2021"
139,KSU administrator receives 2020 Georgia Educator of the Year Award,No Source,https://news.kennesaw.edu/stories/2021/architects-georgia-educator-of-year.php,"January 13, 2021"
140,Kennesaw State to honor Martin Luther King Jr.'s legacy,No Source,https://news.kennesaw.edu/stories/2021/mlk-week-2021-events.php,"January 13, 2021"
141,Written by Whitten | Spring 2021: Discipline and Hope,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/spring-2021-discipline-and-hope.php,"January 12, 2021"
142,"Game times set, single-game football tickets go on sale",No Source,https://ksuowls.com/news/2021/1/8/game-times-set-single-game-football-tickets-go-on-sale-monday.aspx,"January 11, 2021"
143,KSU remembers longtime KSU administrator Ron Koger,No Source,https://news.kennesaw.edu/stories/2021/ksu-administrator-ron-koger.php,"January 08, 2021"
144,Partnership to bring enterprise-level software into classroom,No Source,https://coles.kennesaw.edu/news/stories/2021-01-06-leanswift-infor-erp-partnership-information-systems.php,"January 06, 2021"
145,First-year student shares experience and growth at KSU,No Source,https://news.kennesaw.edu/stories/2021/my-first-semester-2021-technical-communication.php,"January 06, 2021"
146,Donor to help international students feel at home at KSU,No Source,https://news.kennesaw.edu/stories/2021/vardis-scholarships-international-students.php,"January 05, 2021"
147,"Written by Whitten | KSU To Serve as COVID Vaccine Site for Faculty, Staff and Students",No Source,https://president.kennesaw.edu/writtenbywhitten/posts/ksu-to-serve-as-covid-vaccine-site-for-faculty-staff-and-students.php,"January 04, 2021"
148,"Student finds a community, feels at home at KSU",No Source,https://news.kennesaw.edu/stories/2021/my-first-semester-2021-elementary-education.php,"January 04, 2021"
